"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_4521"	0.000303829053783292	0.000300795895894904	0.000299053007508574	0.000111855163448415	0.000399475977905778	0.000356097502572057	0.000246280405688526	0.000335968115332315	0.000288314750173512	0.000348643890017989	0.000105287935810204	0.000297092756974592	0.00030357951781435	0.000204493554752568	0.00018399269273652	0.000207342665154013	0.00032776786260684	0.000163643697223079	0.000154556259881897	0.000201010818708145	0.000240940353639006	0.000224669869662761	0.000177798350230059	0.000281154015798121	0.000290713825453834	0.000227968450596736	0.000232955172911207	0.000242186257433995
"HMR_6410"	0.0036774974897013	0.00241388511998042	0.00278824816837763	0.00231812206490273	0.00255033636018781	0.00120547912386831	0.0028444042386458	0.00345706311964655	0.00352491028150777	0.00262181304627979	0.00245313003205502	0.0035205739530142	0.00424728769012419	0.00424455549247133	0.00172187900198084	0.00298899349556705	0.00313085730487019	0.00253288292872938	0.00520879749191504	0.00460556513267789	0.00383855204630558	0.00191396066824258	0.00471539677556413	0.00301285749462578	0.00365892522883075	0.00301742723938351	0.00457241088167946	0.00213345519999431
"HMR_6412"	0.00367749748971319	0.0024138851199922	0.00278824816839276	0.00231812206491298	0.0025503363601998	0.00120547912391499	0.00284440423865868	0.00345706311965921	0.00352491028152074	0.00262181304629183	0.00245313003206676	0.00352057395302667	0.00424728769013593	0.00424455549248243	0.00172187900518049	0.00298899349557901	0.00313085730488267	0.00253288292874235	0.00520879749192711	0.00460556513269026	0.00383855204631741	0.00191396066828371	0.00471539677557532	0.00301285749464131	0.00365892522884285	0.00301742723939799	0.0045724108816912	0.00213345520007145
"HMR_7745"	-0.030672968484766	-0.0279664144454378	-0.0305025679670363	-0.0306018780402005	-0.0298875207594889	-0.0250647867210134	-0.0302188094339044	-0.0319347400987837	-0.030201353341435	-0.0327406500048718	-0.0321884565269112	-0.0281235941544449	-0.0335904720049407	-0.0262017165077219	-0.0281785320589616	-0.0322778347041638	-0.0309094857664992	-0.0309112533161793	-0.0321704679222056	-0.031117713297479	-0.0314234663725793	-0.0271050859402869	-0.0272489281706514	-0.0291305474519368	-0.0314790292788741	-0.0259666472355225	-0.0315575735207525	-0.0265084716785
"HMR_7746"	0.0241166935276536	0.02226767927437	0.0245487896522959	0.0277006026350095	0.0238120784941429	0.0199390534100445	0.0249879713249334	0.0271033370668829	0.0237117907420678	0.0272657328321525	0.0241119764514339	0.0212689034659152	0.0258819966208662	0.0219359379775767	0.0171108421896105	0.0258700347525377	0.0243146343258889	0.0267748995033907	0.0259006217527716	0.0246367843144389	0.0221472378078789	0.0213305876574617	0.0202604721833182	0.0219068315989537	0.0225950166731435	0.0176513747329298	0.0253751766901703	0.0202359857792408
"HMR_7747"	0.00655627495711231	0.00569873517106771	0.00595377831474047	0.00290127540519089	0.00607544226534586	0.00512573331096742	0.00523083810897071	0.00483140303190071	0.0064895625993671	0.00547491717271926	0.00807648007547729	0.00685469068852952	0.00770847538407444	0.00426577853014498	0.0110676898712141	0.00640779995162577	0.00659485144061013	0.00413635381278843	0.00626984616943391	0.00648092898304003	0.00927622856470026	0.00577449828282539	0.00698845598733312	0.00722371585298318	0.00888401260573045	0.00831527250259284	0.0061823968305821	0.00627248589921807
"HMR_7748"	-0.00723593843797782	-0.00443583632011116	-0.00535740393471842	-0.00560462561252353	-0.00439464702760337	-0.0084018357418022	-0.00246728383145936	-0.00499109523071448	-0.00736923989825464	-0.00792464707973076	-0.00329433960090721	-0.00162632357388366	-0.00472900630392833	-0.00715261311901136	0.00392217534215583	-0.00409938102372501	-0.00332537424582693	-0.00294008968667667	-0.00722442716611471	-0.00457098621848301	-0.000666842355187991	-0.00348784242295955	-0.00630628349630546	-0.00170144178062426	0.00135765240534974	-0.00124531983043183	-0.00294425171227128	-0.0031555375563628
"HMR_7749"	0.0379089069227452	0.0324022507655509	0.0358599719017584	0.0362065036527252	0.034282167787094	0.0334666224628426	0.0326860932653658	0.0369258353295	0.0375705932396918	0.0406652970846043	0.0354827961278206	0.0297499177283305	0.0383194783088706	0.0333543296267351	0.0242563567286757	0.0363772157278904	0.034234860012328	0.0338513430028584	0.0393948950883221	0.0356886995159637	0.0320903087277688	0.0305929283632774	0.0335552116669583	0.0308319892325646	0.0301213768735256	0.0272119670659581	0.0345018252330256	0.0296640092347662
"HMR_8360"	-7.70674115340791e-09	-7.75121998841661e-09	-8.05030188388219e-09	-7.88056899882318e-09	-7.92890118488460e-09	-7.87628171094719e-09	-7.96314880243636e-09	-8.12012777929313e-09	-7.91468664621582e-09	-7.84718350556043e-09	-7.90070843371466e-09	-7.86247646680755e-09	-7.95552777449749e-09	-8.06636929949296e-09	-8.01429176113577e-09	-8.05343123575295e-09	-7.84626824969915e-09	-8.10245488712836e-09	-8.01349296474265e-09	-7.86916770482427e-09	-7.80613139353167e-09	-7.75887216456615e-09	-7.79651404982593e-09	-7.75362319018684e-09	-7.99746481236947e-09	-7.65929283980596e-09	-7.84421996728424e-09	-7.86704955372886e-09
"HMR_8652"	-5.64932622479721e-16	-7.94446186293165e-16	-3.98636761214594e-16	-4.40605532102361e-16	-9.45164545267334e-16	4.02075359052443e-14	-9.34035855062457e-16	-1.05144773247474e-15	-8.77275274796165e-16	-6.15647633318002e-16	-8.97306177461691e-16	-9.45995976317551e-16	-8.980437234353e-16	-6.89560068656428e-16	5.54081434346423e-13	-8.29506151770558e-16	-8.61064693406494e-16	-1.02471275421108e-15	-6.80330558214845e-16	-1.04187609672143e-15	-6.57613080368763e-16	3.4884749275219e-14	-7.72758407350302e-16	-9.2127088230038e-16	-1.02827308397246e-15	-1.0296948370866e-15	-9.40217262084302e-16	8.14257341073656e-14
