"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"
"HMR_8573"	1.01216751982664e-08	1.01425040701335e-08	1.01317980088247e-08	1.01472747330506e-08	1.01407235554439e-08	1.01587564424175e-08	1.01387001703309e-08	1.01332857281241e-08	1.01307016640357e-08	1.01270541409544e-08	1.01391554279117e-08	1.01422533243438e-08	1.0116016002028e-08	1.01321118398688e-08	1.01957474020909e-08	1.01432828081669e-08	1.01480812627229e-08	1.01475427407747e-08
"HMR_8574"	1.98008915588836e-08	1.97807167403453e-08	1.97868774890881e-08	1.97759129744227e-08	1.97819773686748e-08	1.97699753690492e-08	1.97827949460643e-08	1.97894744655419e-08	1.97898390286761e-08	1.97951196149833e-08	1.97867178167678e-08	1.97810915554078e-08	1.98068840428972e-08	1.97897446804157e-08	1.97294320939843e-08	1.97796242167503e-08	1.97751049643195e-08	1.97754624099947e-08
"HMR_8575"	2.00833442299909e-08	2.01046671092676e-08	2.00917422213977e-08	2.01094821253995e-08	2.01026774013009e-08	2.01218750705643e-08	2.01001240709229e-08	2.00953453799925e-08	2.00914070288596e-08	2.0088750178833e-08	2.01025936338097e-08	2.01043393150177e-08	2.00778975125915e-08	2.0093505823304e-08	2.01576152659616e-08	2.01054153489397e-08	2.01103608102827e-08	2.01096004743309e-08
"HMR_8576"	1.98009010944815e-08	1.9780726135087e-08	1.97868922453535e-08	1.97759225758173e-08	1.97819889124109e-08	1.97704469391757e-08	1.97828037400808e-08	1.97894829443446e-08	1.97898503534676e-08	1.97951304551384e-08	1.97867263072341e-08	1.97811190976403e-08	1.9806892126394e-08	1.97897547680158e-08	1.97298450845582e-08	1.97796341710258e-08	1.97751086668492e-08	1.97754722142377e-08
"HMR_8577"	3.0034929128334e-08	3.00569147432833e-08	3.00414404465046e-08	3.00618583535578e-08	3.00547535242843e-08	3.0075128351682e-08	3.0051656104772e-08	3.00477238535791e-08	3.00418281022965e-08	3.00406409539497e-08	3.00563455682311e-08	3.00563939433991e-08	3.00298576845017e-08	3.00448199449237e-08	3.01092426742601e-08	3.00577975056386e-08	3.00628664144439e-08	3.00617208681108e-08
"HMR_8578"	6.8937581487806e-08	6.8897990380015e-08	6.90319363996903e-08	6.89336197097676e-08	6.89609057205144e-08	6.8919764252315e-08	6.90227758978757e-08	6.90537538307726e-08	6.89196507105374e-08	6.90418878606503e-08	6.88262723564578e-08	6.88533623646701e-08	6.89874509460995e-08	6.89453918141272e-08	6.88052118170852e-08	6.90038017562908e-08	6.89517418470224e-08	6.88978585959492e-08
"HMR_8579"	-9.16680508945595e-09	-9.12443402076341e-09	-9.27051241674758e-09	-9.15958909858589e-09	-9.18826510559855e-09	-9.13666305816292e-09	-9.25287051049003e-09	-9.2798795721326e-09	-9.15445251548169e-09	-9.27015673755094e-09	-9.045522985071e-09	-9.080375454056e-09	-9.21501770412266e-09	-9.17605896382931e-09	-9.0310289271647e-09	-9.22988907010817e-09	-9.17726963807979e-09	-9.12490570094838e-09
"HMR_8581"	7.00440020668965e-10	7.47066141412989e-10	5.91340172898397e-10	7.12628470795275e-10	6.82398579334573e-10	7.37591087811193e-10	6.15782466436344e-10	5.91572878672296e-10	7.10067685693885e-10	5.99421456603662e-10	8.31103424141541e-10	7.90124447856784e-10	6.538801798588e-10	6.91316432615349e-10	8.38259150035382e-10	6.41873394112344e-10	6.95485072548123e-10	7.46250903755538e-10
"HMR_8591"	-4.75702953257477e-09	-5.76287464373371e-09	-6.19094592003508e-09	-6.83576427153309e-09	-6.13865915781462e-09	-5.78352169955535e-09	-7.27899960887043e-09	-6.75567466776104e-09	-5.1973786158539e-09	-6.75659993701724e-09	-5.78461759368878e-09	-6.08712120623564e-09	-5.34197057225452e-09	-5.11654644074912e-09	-6.3243088136316e-09	-6.52874604332275e-09	-6.00459895188672e-09	-6.28855005219272e-09
"HMR_8592"	7.76437466098159e-08	7.97550908019474e-08	8.1850272655642e-08	8.16466567718206e-08	8.09937316823341e-08	8.07962031114128e-08	8.29352424365255e-08	8.24685421384966e-08	7.89105415735703e-08	8.20271578206933e-08	7.78633978087048e-08	7.93348185961982e-08	7.86123908901158e-08	7.92417819762464e-08	8.17005932741671e-08	8.20596451931823e-08	8.10890586538601e-08	8.06416720331541e-08
