"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"
"HMR_4371"	0.000466603077648991	0.000303571223597552	0.000392260874083108	0.00189003889208461	0.000446534192915806	0.000208977174454067	0.000362094807461814	0.000385923163989894	0.000405603905910448	0.00040874767234718	0.000367171152105146	0.000466409058183987	0.000503351298009428	0.000488436583951225	0.00116556712471867	0.000324601743701224	0.000331306704949805	0.000356030615054388	0.000449212899846521	0.00107402189913503	0.000212710798261626	0.000419199004595324	0.000446492814411975	0.000194532465218042	0.000265769709210395	0.000328081380657362	0.00129975672084312	0.00118382386650377	0.000395195251854607	0.000553691688662466	0.000472867041628036	0.000510841123712196	0.000361542384512034	0.000405739239282451	0.000397338586745623	0.000545356489745966	0.000270578331465496	0.000468710464779112	0.000381353884240121
"HMR_4372"	0.000466603078913001	0.000303571224861985	0.000392260875411501	0.00189003888612087	0.000446534194179399	0.00020897717572453	0.000362094808787373	0.000385923165253606	0.000405603907174432	0.000408747673611859	0.000367171153370191	0.000466409059448129	0.000503351299273805	0.000488436585216765	0.00116556712509071	0.000324601744965165	0.000331306706214008	0.000356030616318358	0.000449212901110131	0.0010740218299868	0.000212710799526442	0.000419199005859597	0.000446492815676355	0.000194532466530963	0.000265769711083412	0.000328081381921277	0.00129973908777288	0.00118382386643062	0.000395195253116991	0.000553691689926355	0.000472867042892482	0.000510841124977123	0.000361542385787454	0.000405739240547862	0.000397338588010541	0.000545356491010751	0.000270578332730966	0.000468710466043958	0.00038135388550495
"HMR_4373"	-0.400364246012994	-0.348005411484185	-0.36179174231832	-0.537447373051035	-0.365466657022319	-0.355352209173716	-0.359777135268886	-0.403143523910685	-0.389875326093099	-0.374209806832258	-0.377163496497481	-0.3611182888189	-0.418961097069134	-0.390818870611799	-0.331664559284843	-0.376426243089202	-0.361987984623612	-0.36060664522996	-0.400137940079252	-0.38121530381904	-0.290382119295903	-0.398915721880187	-0.347263721830181	-0.307587388358621	-0.328287634832977	-0.328901970456938	-0.442035146989016	-0.314700993003261	-0.358643786978576	-0.425338847026111	-0.425486578424756	-0.414196657094945	-0.329956633029767	-0.417616342233748	-0.380694275329659	-0.425988727206135	-0.330178405823093	-0.410469032101959	-0.337385344887584
"HMR_4375"	-0.169779378797789	-0.14444402703704	-0.145361511900576	-0.21105065721538	-0.15461037746806	-0.145232415419067	-0.14430233421797	-0.177035770522564	-0.16523082655894	-0.16253398912628	-0.151872036379296	-0.151751144644141	-0.179737634172997	-0.165953250553761	-0.126414650683078	-0.162530759399586	-0.150516234748985	-0.150988100477413	-0.173453195642159	-0.142470892723402	-0.111928397982646	-0.16983245885388	-0.143305668658033	-0.114956318192595	-0.123647630182704	-0.134345221593616	-0.17172260252631	-0.111739435268351	-0.152407161881909	-0.188918612359446	-0.182965198190641	-0.175247017221968	-0.134915626049898	-0.17521473529627	-0.159225567432935	-0.176146246731878	-0.134569999855715	-0.173013929011735	-0.140944060892085
"HMR_4377"	5.08465794426525e-05	3.88193337007003e-05	5.83729141092932e-05	0.000819649522998283	5.71963297680414e-05	5.2242755843382e-05	4.42577813777292e-05	6.19446796307402e-05	6.41269102813382e-05	7.02577497914659e-05	5.42207112029421e-05	3.32262053889467e-05	5.11744651772016e-05	2.45027582945829e-05	0.000184613650406134	3.95987813796842e-05	5.00846480804343e-05	5.21250222607978e-05	4.01433196479704e-05	0.000460600682586905	4.32378124549674e-05	5.80359836043024e-05	4.32423643793755e-05	2.65779719888525e-05	2.62628971037906e-05	4.78885656711881e-05	0.000553803608320297	0.000368429490410384	3.87020346654124e-05	7.07728996945211e-05	5.47859308530104e-05	4.25324588638434e-05	6.19402204159431e-05	2.76950342316983e-05	4.30360075944898e-05	2.34346847851378e-05	5.75766860097981e-05	6.15048472504886e-05	5.32620826809809e-05
"HMR_4381"	-0.0421608880875242	-0.0338264979878333	-0.0383580856948171	-0.037276414365715	-0.0355952738352739	-0.0391992639448547	-0.0328153828347394	-0.0377724486404067	-0.0419152163664081	-0.0446672145686431	-0.0366907699998548	-0.0287394218164359	-0.039510553276824	-0.0376379881261454	-0.0213575872120295	-0.0367917610928023	-0.0344514080041244	-0.0330365716443654	-0.036854183625579	-0.0223463047643399	-0.0237735086533094	-0.0391085777361845	-0.02957490576051	-0.0220930729235159	-0.0262986426802111	-0.0311998549429271	-0.0288728069689087	-0.0192128373673588	-0.0287318435183433	-0.0440880663279516	-0.0388202249367376	-0.0334707907215579	-0.0323219264210657	-0.0396962332127666	-0.0305980295590588	-0.0279145536596152	-0.0272631996336001	-0.0355220292418438	-0.0314866436880605
"HMR_4391"	0.177599554570507	0.156843706236154	0.157667760295132	0.229498417429896	0.163368428280977	0.167567940693452	0.154622832478264	0.170762989492486	0.175036636399934	0.167799370070872	0.17095512546847	0.155184352787043	0.178398360211193	0.166727931225774	0.154409309020117	0.170381872954383	0.164852522592408	0.160092465948486	0.173454443706302	0.17768426282352	0.14227956395053	0.178846294106336	0.156602505552574	0.144797853292301	0.156828430242113	0.15248382208787	0.200398161812266	0.143510818826031	0.156540923280953	0.183038824563755	0.186211832652805	0.178250609176416	0.148727394085281	0.186260720679677	0.164482725219887	0.176880803641559	0.145042227609237	0.177017550549309	0.154303339354957
"HMR_4394"	0.0519908808426535	0.0435123821084153	0.0441941892664502	0.0463655738066567	0.0473541129999707	0.0466982131653801	0.0431733658867438	0.051321717038238	0.049500284912046	0.0498349653005603	0.0480235151755581	0.0436455037269312	0.0551667706792287	0.0485638128404239	0.0382852689693697	0.0478858214223793	0.0460044860203019	0.0424981668792556	0.0488593129522728	0.0343589151812009	0.0312578829315062	0.0514741669078215	0.040736567194197	0.0344286211222498	0.0359221707400497	0.0387741450442418	0.039194488080954	0.0327810932216736	0.0405691017156191	0.0538807033506442	0.0541906156069381	0.0541204761167022	0.0384076468968974	0.0520427239779856	0.0457348788263549	0.0553453761889814	0.0413054173501384	0.0503436924589488	0.0382954476710833
"HMR_4396"	-0.0233263564594232	-0.0205138294637927	-0.021476356683942	-0.0617614583751206	-0.0226825753948062	-0.0185576863427249	-0.0214793196295647	-0.0225068790000836	-0.0208687225159242	-0.0209040546794433	-0.0234058730570928	-0.0212915513147531	-0.0247878371876181	-0.0229936352118556	-0.0266947872278433	-0.023512420997599	-0.0218885058333389	-0.0217642632147329	-0.0242424838081759	-0.0363435177509329	-0.0177429124609498	-0.0245142070734208	-0.0225647891277816	-0.0188760561395939	-0.0217529297818906	-0.0193035756309341	-0.0560989876694206	-0.0269488935850505	-0.0225990599262897	-0.0254148157514187	-0.0258953799456371	-0.0255473037504649	-0.0211444706369956	-0.0247717597290198	-0.023171437194938	-0.0263392668255793	-0.0196025033554386	-0.0250320322552512	-0.0187936451815892
"HMR_4521"	0.000247756430098451	0.000231325170691079	0.000244178290577713	0.000861784997025614	0.000312889427121975	0.000278180115121677	0.000199955680101992	0.000254450959046319	0.000233867804584359	0.000258275409286345	8.55420114933392e-05	0.000235523670586386	0.000244649921598361	0.000165380122750689	0.000611095869071163	0.000160945543047682	0.000262830936145865	0.000122985934108152	0.000234866779435702	0.000517527131258071	0.000267998717321538	0.000347232632575985	0.000203955837655119	0.000273550330474385	0.000246569802630767	0.000243781804784972	0.000583045886806526	0.000493173034540444	0.000195836492922383	0.000131194422943131	0.000182337905757972	0.000252427051308128	0.000184328184621131	0.000174340337538204	0.000244752527191148	0.000273697730889791	0.0002045994046713	0.000200525260798982	0.000201823269875298
