"A01"	"A02"	"A03"	"A04"	"A05"	"A06"	"A07"	"A08"	"A09"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"C19"	"C20"	"C21"	"C22"	"C23"	"C24"	"C25"	"C26"	"C27"	"C28"	"C29"	"D30"	"D31"	"D32"	"D34"	"D35"	"D36"	"D37"	"D38"	"D39"	"D40"	"E41"	"E42"	"E43"	"E44"	"E45"	"E46"	"E47"	"E48"	"E49"	"E50"	"E51"	"E52"	"F53"	"F54"	"F55"	"F56"	"F57"	"F58"	"F59"	"F60"	"F61"	"F62"	"G63"	"G64"	"G65"	"G66"	"G67"	"G68"	"G69"	"G70"	"G71"	"H72"	"H73"	"H74"	"H75"	"H76"	"H77"	"H78"	"H79"	"H80"	"I89"	"I90"	"I91"	"I92"	"I93"	"I94"	"I95"	"I96"	"I97"	"I98"
"HMR_8357"	753.10951934	889.7113965	946.31802871	1156.79137314	866.61468218	905.38294817	1035.34608187	802.33475738	915.55784846	776.95308772	692.46375338	942.59690513	736.01465564	819.41593103	1521.38487332	981.7450917	741.63504949	968.69953424	1055.43427966	1511.61578571	1271.88274081	765.77891619	1115.53625289	1567.23334456	1337.08776031	1207.11142106	1699.37139011	1470.70718301	1321.49190435	900.10340397	727.91590334	757.78403758	1266.85916314	717.70077642	858.88880238	626.94996625	877.36938549	725.28076302	989.96701995	1995.62878711	2204.76898341	1653.98132311	1615.81286051	1615.28464261	1756.42653981	1977.20309551	1404.79652431	1425.88960812	1546.54583931	1345.89352601	1242.83872411	1730.10459681	582.87460552	1605.07303451	1672.18569231	2067.14888211	1936.07990611	1393.52594071	1489.06406269	2186.77567441	1398.30865601	1834.44349751	1681.69865281	1831.06182121	2189.61659691	1784.98308791	2066.60076811	1768.41397541	1557.52275941	1752.85398924	1518.39202781	1431.60654171	1486.97453701	1308.22826336	1319.78954881	1472.43062391	1453.95467221	1451.74727361	1345.16037485	1982.96520691	1579.23875031	1843.21025261	2292.47971651	2125.68710001	1922.40868561	2190.62206901	1930.34677071	1611.60115228	1955.88819561
"HMR_4379"	134.14979102	112.39575891	131.041951	114.76530517	116.4571553	167.56229898	126.37845708	191.59340583	157.5180353	176.37600444	119.79671371	139.86457008	162.65445877	169.06418543	122.016566318	163.41714641	112.90885021	139.93486448	213.44688826	85.426996895	75.079709024	158.05254509	116.90050942	116.065497564	94.804969115	113.85186241	125.878424751	101.128902697	170.14874344	203.99573634	175.17630945	157.02775951	135.51540452	162.28506787	141.7588292	127.66246156	129.05998566	151.49577817	129.8539097	89.898380266	160.498385599	116.182589149	61.945897893	62.908779928	56.912369965	73.941896291	64.271146021	190.42049086	57.000296932	55.285600371	63.147240284	80.831848961	85.56355984	67.974257774	61.521067199	80.038099874	62.595865177	73.852819989	80.760465614	61.861185	65.711527627	77.943617388	66.732762579	97.396905385	74.992176598	77.210699358	88.012214236	76.556230877	81.853264572	63.667300994	86.3272832	74.721617253	73.820247317	77.31305313	64.622586232	71.892997415	67.877172746	64.380508197	72.482105623	67.70479291	75.534035659	60.825395743	77.033831406	68.176793799	76.01582407	79.992790087	66.787470147	61.916519367	62.602835293
"HMR_4301"	141.306120536	119.906481792	140.700273872	122.745247884	125.253387242	181.9088116	135.612690171	206.0291105	166.93186483	185.60957466	128.999426218	148.582090502	169.760094379	184.74352521	132.503130648	176.79076376	124.80053462	154.31689779	224.74087656	95.779494525	81.971971173	168.65612787	123.559082333	130.728852534	107.937583565	122.264186579	133.573385764	115.449277757	179.273964756	214.28732607	190.0259081	164.50981057	146.40860444	175.72830414	152.43366468	136.675857433	140.38953681	163.01620921	138.719196291	103.728900306	199.691914019	135.878779159	70.32006557	68.855381015	62.04959274	82.05061673	70.187885394	218.06601895	65.543162591	61.641224107	70.421802363	86.243085502	102.0682059	72.573885011	65.961240453	87.747863077	66.32233766	78.718671964	89.852703464	65.132138195	71.425573507	82.288015734	70.889795231	102.546626819	81.231329952	82.959144842	93.451782482	80.191777914	90.918446966	69.894677219	92.136221882	80.652956271	79.494448693	81.992097865	68.880915606	78.321842346	74.357786317	70.35395741	84.114517703	78.7522437	83.075655443	66.387039867	84.12534729	76.925735115	84.538320816	88.586103513	76.231673684	67.583190085	69.983459767
"HMR_4355"	75.58088367	75.76993968	80.79891079	84.39003936	73.88008895	84.40221064	90.16672626	85.29024331	70.47786815	82.11458437	76.04346652	83.933151184	72.412886537	77.20370566	96.29018187	76.33005317	71.267237572	82.11677087	89.33956016	80.13739957	69.627163849	75.362802962	81.75525991	86.07932457	64.34981083	84.19937133	93.782337356	101.68865681	99.61144875	79.24040917	80.408128992	70.19784212	84.14747095	59.02420926	77.80934859	70.52299438	75.09554465	74.988300232	73.7171119	89.514199142	107.47184721	89.63013049	88.588369721	84.50433125	60.03499558	81.970332372	76.05945881	82.22161371	67.337882264	72.57622739	74.26115457	86.33928526	53.4229333	79.714940527	76.61765626	88.17817543	81.982394644	70.554853654	73.73117249	76.207470943	80.06466668	81.94727861	72.954546551	91.351580226	81.63911776	81.08333631	78.819343905	86.06458467	78.38716542	76.77527473	79.55018807	85.68962404	87.89449191	81.93769037	77.75514399	81.098503	76.679200139	82.765457439	68.95458716	74.074306123	78.92776456	67.82492835	81.69323895	82.50366277	71.77477118	74.648402765	79.04071884	67.53108277	69.567116843
"HMR_4358"	130.132202572	97.065048079	119.382799087	100.521536458	120.628138515	126.882793472	122.99418317	148.713383669	138.388328242	94.903326008	109.302392431	123.582259214	137.203363941	187.640794485	97.36823988	124.168486759	92.605974388	122.769211815	176.780971033	119.884945236	79.674550459	140.62262143	86.561447874	135.189926152	120.382299165	99.729815951	104.514782972	77.759170116	95.948038741	211.774825275	191.86171014	156.265257492	118.925760598	144.178709027	138.275199915	132.414979381	126.11579309	159.429261828	122.250799509	95.084825277	598.898395879	126.903300198	64.699048915	68.438075677	67.891924528	92.92914761	58.354406647	157.293521881	70.568377687	50.06788306	47.486724694	54.593364221	56.028930048	65.4328295	70.335633366	101.374421283	96.355931359	72.555259467	81.142492415	73.682524618	63.058577753	74.706614691	89.417497044	92.023283018	107.615200677	107.586695496	91.112768138	89.630217333	95.273289482	75.076899393	62.365411142	75.980784198	66.922198585	67.030036215	75.057118508	65.689287128	63.089256745	45.398214028	72.944042568	81.52976913	97.475435716	65.383230937	112.18419714	111.405733104	123.73776675	107.07999056	84.465081891	63.46671205	70.83885521
"HMR_4360"	40.11311019	40.86716863	34.92805254	35.43781013	43.69208168	40.80371773	40.51459336	39.50599653	37.35327012	38.56373446	45.85211145	48.34261326	52.58170352	52.66213035	55.27497463	49.34494781	42.84321142	45.40779068	55.17287285	38.38736349	41.38420518	55.15683405	38.34937483	59.7008024	45.9641506	42.86098198	43.03103199	44.03398716	53.11944526	42.51924395	47.44528362	41.98526742	45.92133362	60.03245198	55.29017352	45.72249907	67.64189258	41.81958668	50.00622675	34.57630011	76.79094031	34.28134338	36.02039248	42.14783929	46.03354527	42.55071123	25.78975712	37.17846881	33.59715235	30.64021226	35.16038339	46.84928348	36.48395445	39.39213833	42.65855342	42.45748667	43.34242401	41.3597418	50.96237518	39.53836407	42.7192954	35.43666102	36.42221324	42.09337521	41.71669205	35.76138192	46.01874737	45.09476614	49.05863414	40.71745994	32.99799891	41.55250911	36.7710501	47.44333732	29.88957145	42.55044837	33.32196083	49.64600014	46.61363688	55.48785773	57.88193185	52.84918417	50.05022945	48.38661214	49.92325109	56.21218895	57.97288018	46.62302185	42.94387964
"HMR_4363"	456.74959264	449.583035638	549.437533598	464.38118245	557.920626938	400.58444341	616.227931824	709.314151559	503.111295796	544.484378673	324.678155312	523.555544698	553.141433846	599.053036016	329.346723761	557.965288226	387.03910812	448.858620371	699.056749567	255.33641969	228.761838848	411.946915671	462.645656283	236.320525134	253.021705174	317.270235084	251.883411323	338.977737889	817.473293542	555.117720054	476.370229393	413.085468749	338.288823165	405.271563448	344.879300056	531.462596662	290.72969916	407.85701835	337.001097752	204.768532797	482.027195685	335.832505614	330.406800702	343.650947089	186.95461706	299.139528206	275.421959475	362.013423792	266.336400007	339.59568577	258.347989405	508.944834122	189.36909687	320.506321282	354.720507675	372.363632995	408.270550857	336.338501481	310.434978012	374.610218604	261.8257451	417.147425498	320.476934467	388.692017738	391.109279912	437.971035949	315.2773756	324.682316132	285.730994128	306.27368526	491.258717169	362.905167225	471.626267339	387.599008042	368.849338921	382.078511613	329.302222408	444.092763221	278.50598174	263.447243177	218.848379073	217.663760012	321.857536817	326.308767587	375.393766643	319.279081462	229.566793652	179.327331263	221.668539961
"HMR_4365"	56.120689375	51.470542118	68.670428619	62.423745431	65.414231921	49.622786098	64.881365499	74.442110209	68.111825429	65.425029637	44.237600481	65.345380358	69.829019039	82.827816656	50.374710925	52.093675489	46.033663334	61.819546435	70.073344809	42.165647307	33.419813365	52.244261967	68.037598415	36.348051887	42.462120078	55.346241376	56.370651906	49.771466416	78.363670657	63.827183241	56.338724575	59.475157481	56.914471151	46.799266278	54.021137135	65.114956862	42.150402489	56.969164502	53.882911385	34.000028438	44.868609474	43.755460094	47.778641619	34.219037843	27.499251331	38.135071379	38.887882456	35.510204193	34.889350513	63.472975932	42.839087807	62.866543639	29.534629796	46.944833637	42.609218156	49.62935942	45.338748563	49.523560108	37.591437172	48.031365355	53.807265383	48.810593189	30.28301933	33.361238865	42.817719106	42.6595165	38.892912968	42.647763323	30.750520677	31.528813902	55.911034827	51.59270868	63.139397672	51.3062696	55.000712232	46.802991713	52.957252692	49.048655214	46.445659801	37.632337084	32.287559712	36.381291571	51.995916116	40.497282961	43.78382215	42.274488201	38.188484568	32.527992612	35.903899371
"HMR_4368"	509.103792851	398.510120047	510.730137282	412.59736061	398.432139837	353.135371324	435.07258425	474.58446841	507.08826121	448.988524072	394.74793131	403.335414588	479.95338701	575.022743623	374.91917631	385.74692721	398.226407072	399.159416589	474.12605801	340.31002251	292.26254741	387.281070688	439.86632791	317.86119211	327.87760761	385.74883764	400.66953251	419.16250901	510.67935641	471.093895967	392.616861084	423.331589624	376.46499171	518.698869504	400.069941307	411.502491509	331.612980691	450.47839335	342.590736071	325.20931151	399.56117441	273.25347151	364.59175921	341.460093945	304.103442327	354.49559501	325.69166111	274.31036921	358.08246981	410.45117651	426.97637981	454.567919351	146.37015058	369.670430355	372.15229901	393.84339191	384.89137221	402.08156821	327.62618403	393.088234885	412.09154701	415.86966121	350.759953745	368.98873571	359.791176731	343.091430525	356.944468265	364.393676074	366.073394947	361.928138491	455.436928666	374.535893454	430.905528035	380.68925601	396.300935641	394.736081732	370.82167581	478.67239701	298.075310277	321.253186109	353.230616634	311.452070997	331.739577043	352.421874113	377.55468407	351.422302969	327.18111281	389.267711302	352.869548566
"HMR_4370"	15.756479909	12.017156622	13.215352273	9.696059437	13.751855582	11.054888525	13.10197471	8.883510579	10.118608221	11.356797606	16.306560768	13.59260761	15.374011599	18.065326273	13.622733118	9.541256655	11.062995607	11.540421903	12.369606249	8.425572901	9.31221198	14.562860483	14.018048247	10.20228138	9.067757609	10.772342724	13.162433324	10.868558279	12.788631343	11.692792094	11.545155008	15.107071261	11.143043965	14.913590248	13.710569587	15.186206389	12.894818097	13.419403201	11.75026122	7.491531698	9.576699263	7.978203558	9.406599319	10.693449334	10.979554568	16.016729983	7.497547612	7.626352586	9.404331113	12.405955515	10.406665206	12.722418371	19.110642811	9.306638777	11.067542972	13.160386498	11.445594061	12.434955055	8.863021779	10.271940746	12.176359686	12.096167951	11.094597082	6.045325171	11.744288673	8.410883403	9.682431488	9.018953235	14.664265646	9.885415416	9.762244184	11.133686658	11.960326438	10.337424424	10.970886751	10.93153789	9.841827336	13.075216622	10.708538209	8.39522726	10.911781134	10.417909003	12.723766777	10.716497998	11.309474365	11.28473151	10.364407994	8.480465843	10.741647322
